Codigo_Accidente;Formulario;Fecha_Acc;AA_Acc;Codigo_Vehiculo;Clase;Servicio;Modalidad;Vehiculo_Viajaba_Clasificado;Tipo_SITP;Con_Bicicleta;Con_Carga;Con_Embriaguez;Con_Huecos;Con_Menores;Con_Moto;Con_Peaton;Con_Persona_Mayor;Con_Rutas;Con_Tpi;Con_Tpp;Con_Velocidad;Con_Sitp;Con_Troncal;Con_Alimentador;Con_Zonal;Con_Provisional;Con_Articulado;Con_Biarticulado;Con_Padron_Dual
10587632;A001567400;15/02/2023;2023;1;Camioneta;Publico;;LIVIANO;;;;;;;SI;;;;;;;;;;;;;;
10587632;A001567400;15/02/2023;2023;2;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;;;;;;;;;;;;;;
10587633;A001566701;14/02/2023;2023;1;Bus;Publico;;TRANSPORTE DE PASAJEROS;ZONAL;;;;;;;;SI;;;SI;;SI;;;SI;;;;
10587634;A001566674;14/02/2023;2023;1;Bus;Publico;;TRANSPORTE DE PASAJEROS;ZONAL;;;;;;SI;;;;;SI;;SI;;;SI;;;;
10587634;A001566674;14/02/2023;2023;2;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;;;;;SI;;SI;;;SI;;;;
10587635;A001567253;13/02/2023;2023;1;Camioneta;Particular;;LIVIANO;;;;;;SI;SI;;;;;;;;;;;;;;
10587635;A001567253;13/02/2023;2023;2;Motocicleta;Particular;;MOTOCICLETA;;;;;;SI;SI;;;;;;;;;;;;;;
10587636;A001567345;15/02/2023;2023;1;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;;;;;;;;;;;;;;
10587636;A001567345;15/02/2023;2023;2;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;;;;;;;;;;;;;;
10587637;A001520013;15/02/2023;2023;1;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;;;;;;;;;;;;;;
10587637;A001520013;15/02/2023;2023;2;Automovil;Particular;;LIVIANO;;;;;;;SI;;;;;;;;;;;;;;
10587638;A001520117;14/02/2023;2023;1;Motocicleta;Particular;;MOTOCICLETA;;SI;;;;;SI;;SI;;;;;;;;;;;;
10587638;A001520117;14/02/2023;2023;2;Bicicleta;Sin información;;BICICLETA;;SI;;;;;SI;;SI;;;;;;;;;;;;
10587639;A001567067;15/02/2023;2023;1;Automovil;Particular;;LIVIANO;;SI;;;;;;;;;;;;;;;;;;;
10587639;A001567067;15/02/2023;2023;2;Bicicleta;Sin información;;BICICLETA;;SI;;;;;;;;;;;;;;;;;;;
10587640;A001567078;15/02/2023;2023;1;Bus;Publico;;TRANSPORTE DE PASAJEROS;ZONAL;SI;;;;;;;;;;SI;;SI;;;SI;;;;
10587640;A001567078;15/02/2023;2023;2;Bicicleta;Sin información;;BICICLETA;;SI;;;;;;;;;;SI;;SI;;;SI;;;;
10587641;A001567407;16/02/2023;2023;1;Camioneta;Particular;;LIVIANO;;;;;;;SI;;SI;;;;;;;;;;;;
10587641;A001567407;16/02/2023;2023;2;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;;SI;;;;;;;;;;;;
10587642;A001567009;13/02/2023;2023;1;Automovil;Particular;;LIVIANO;;;;;;SI;SI;;;;;;;;;;;;;;
10587642;A001567009;13/02/2023;2023;2;Motocicleta;Particular;;MOTOCICLETA;;;;;;SI;SI;;;;;;;;;;;;;;
10587643;A001567059;15/02/2023;2023;1;Camioneta;Particular;;LIVIANO;;;;;;;SI;;;;;;;;;;;;;;
10587643;A001567059;15/02/2023;2023;2;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;;;;;;;;;;;;;;
10587644;A001567077;14/02/2023;2023;1;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;;;;;;;;;;;;;;
10587644;A001567077;14/02/2023;2023;2;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;;;;;;;;;;;;;;
10587645;A001566736;15/02/2023;2023;1;Tractocamion;Publico;;CARGA;;;SI;;;;;;;;;;;;;;;;;;
10587645;A001566736;15/02/2023;2023;2;Automovil;Particular;;LIVIANO;;;SI;;;;;;;;;;;;;;;;;;
10587646;A001567303;15/02/2023;2023;1;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;;;;;;;;;;;;;;
10587646;A001567303;15/02/2023;2023;2;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;;;;;;;;;;;;;;
10587647;A001566838;17/02/2023;2023;1;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;;;;;;;;;;;;;;
10587647;A001566838;17/02/2023;2023;2;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;;;;;;;;;;;;;;
10587647;A001566838;17/02/2023;2023;3;Automovil;Sin información;;LIVIANO;;;;;;;SI;;;;;;;;;;;;;;
10587648;A001567397;15/02/2023;2023;1;Bicicleta;Sin información;;BICICLETA;;SI;;;;;;;;;;;;;;;;;;;
10587649;A001567316;17/02/2023;2023;1;Automovil;Particular;;LIVIANO;;;;;;;SI;;;;;;;;;;;;;;
10587649;A001567316;17/02/2023;2023;2;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;;;;;;;;;;;;;;
10587650;A001567006;16/02/2023;2023;1;Bus;Publico;;TRANSPORTE DE PASAJEROS;PADRON DUAL;;;;;;;SI;;;;SI;;SI;SI;;;;;;SI
10587651;A001566995;16/02/2023;2023;1;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;;;;;;;;;;;;;;
10587651;A001566995;16/02/2023;2023;2;Camioneta;Particular;;LIVIANO;;;;;;;SI;;;;;;;;;;;;;;
10587651;A001566995;16/02/2023;2023;3;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;;;;;;;;;;;;;;
10587652;A001567005;16/02/2023;2023;1;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;SI;;;;;;;;;;;;;
10587653;A001566981;16/02/2023;2023;1;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;;;;;;;;;;;;;;
10587654;A001567098;17/02/2023;2023;1;Motocicleta;Particular;;MOTOCICLETA;;;;;;SI;SI;SI;;;;;;;;;;;;;
10587655;A001567156;16/02/2023;2023;1;Microbus;Publico;Pasajeros - Colectivo;TRANSPORTE DE PASAJEROS;;;;;;;SI;;;;;SI;;;;;;;;;
10587655;A001567156;16/02/2023;2023;2;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;;;;;SI;;;;;;;;;
10587656;A001567289;15/02/2023;2023;1;Bicicleta;Sin información;;BICICLETA;;SI;;;;;;;;;;;;;;;;;;;
10587657;A001567086;16/02/2023;2023;1;Bus;Publico;;TRANSPORTE DE PASAJEROS;ZONAL;;;;;;;;;;;SI;;SI;;;SI;;;;
10587658;A001567318;17/02/2023;2023;1;Bus;Publico;;TRANSPORTE DE PASAJEROS;ZONAL;;;;;;SI;;;;;SI;;SI;;;SI;;;;
10587658;A001567318;17/02/2023;2023;2;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;;;;;SI;;SI;;;SI;;;;
10587658;A001567318;17/02/2023;2023;3;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;;;;;SI;;SI;;;SI;;;;
10587659;A001567406;15/02/2023;2023;1;Bus;Publico;;TRANSPORTE DE PASAJEROS;ZONAL;SI;;;;;;;;;;SI;;SI;;;SI;;;;
10587659;A001567406;15/02/2023;2023;2;Bicicleta;Sin información;;BICICLETA;;SI;;;;;;;;;;SI;;SI;;;SI;;;;
10587660;A001567405;15/02/2023;2023;1;Motocicleta;Particular;;MOTOCICLETA;;SI;;;;SI;SI;;;;;;;;;;;;;;
10587660;A001567405;15/02/2023;2023;2;Bicicleta;Sin información;;BICICLETA;;SI;;;;SI;SI;;;;;;;;;;;;;;
10587661;A001520043;16/02/2023;2023;1;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;;SI;;;;;;;;;;;;
10587661;A001520043;16/02/2023;2023;2;Automovil;Particular;;LIVIANO;;;;;;;SI;;SI;;;;;;;;;;;;
10587662;A001567415;16/02/2023;2023;1;Motocicleta;Particular;;MOTOCICLETA;;;;;;SI;SI;;;;;;;;;;;;;;
10587663;A001567408;16/02/2023;2023;1;Motocicleta;Particular;;MOTOCICLETA;;;;;;SI;SI;SI;;;;;;;;;;;;;
10587664;A001567315;17/02/2023;2023;1;Bus;Publico;;TRANSPORTE DE PASAJEROS;ZONAL;;;;;;;;;;;SI;;SI;;;SI;;;;
10588394;A001567881;03/03/2023;2023;1;Automovil;Publico;Pasajeros - Individual;TAXI;;;;;;;SI;;SI;;SI;;;;;;;;;;
10588394;A001567881;03/03/2023;2023;2;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;;SI;;SI;;;;;;;;;;
10588395;A001519840;03/03/2023;2023;1;Automovil;Particular;;LIVIANO;;;;;;;SI;;SI;;;;;;;;;;;;
10588395;A001519840;03/03/2023;2023;2;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;;SI;;;;;;;;;;;;
10588395;A001519840;03/03/2023;2023;3;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;;SI;;;;;;;;;;;;
10588396;A001567879;03/03/2023;2023;1;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;;;;;;;;;;;;;;
10588396;A001567879;03/03/2023;2023;2;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;;;;;;;;;;;;;;
10588397;A001518878;03/03/2023;2023;1;Automovil;Publico;Pasajeros - Individual;TAXI;;;;;;;SI;;SI;;SI;;;;;;;;;;
10588397;A001518878;03/03/2023;2023;2;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;;SI;;SI;;;;;;;;;;
10588399;A001567516;03/03/2023;2023;1;Automovil;Publico;Pasajeros - Individual;TAXI;;;;;;;;;;;SI;;;;;;;;;;
10588399;A001567516;03/03/2023;2023;2;Automovil;Particular;;LIVIANO;;;;;;;;;;;SI;;;;;;;;;;
10588400;A001568031;04/03/2023;2023;1;Bus;Publico;;TRANSPORTE DE PASAJEROS;ARTICULADO;;;;;;SI;;;;;SI;;SI;SI;;;;SI;;
10588400;A001568031;04/03/2023;2023;2;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;;;;;SI;;SI;SI;;;;SI;;
10588401;A001568010;03/03/2023;2023;1;Camioneta;Particular;;LIVIANO;;SI;;;;;;;;;;;;;;;;;;;
10588401;A001568010;03/03/2023;2023;2;Bicicleta;Sin información;;BICICLETA;;SI;;;;;;;;;;;;;;;;;;;
10588402;A001567814;04/03/2023;2023;1;Automovil;Particular;;LIVIANO;;;;;;;;;;;;;;;;;;;;;
10588402;A001567814;04/03/2023;2023;2;Camioneta;Particular;;LIVIANO;;;;;;;;;;;;;;;;;;;;;
10588402;A001567814;04/03/2023;2023;3;Automovil;Particular;;LIVIANO;;;;;;;;;;;;;;;;;;;;;
10588403;A001567418;03/03/2023;2023;1;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;SI;;;;;;;;;;;;;
10588404;A001567781;06/03/2023;2023;1;Bus;Publico;;TRANSPORTE DE PASAJEROS;PADRON DUAL;;;;;;;SI;;;;SI;;SI;SI;;;;;;SI
10588405;A001519601;03/03/2023;2023;1;Buseta;Publico;;TRANSPORTE DE PASAJEROS;ZONAL;;;;;;;;SI;;;SI;;SI;;;SI;;;;
10588406;A001567955;05/03/2023;2023;1;Automovil;Particular;;LIVIANO;;;;;;;SI;;;;;;;;;;;;;;
10588406;A001567955;05/03/2023;2023;2;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;;;;;;;;;;;;;;
10588407;A001567948;06/03/2023;2023;1;Bus;Publico;;TRANSPORTE DE PASAJEROS;ZONAL;;;;;;;;SI;;;SI;;SI;;;SI;;;;
10588408;A001568009;03/03/2023;2023;1;Automovil;Particular;;LIVIANO;;;;;;;SI;;;;;;;;;;;;;;
10588408;A001568009;03/03/2023;2023;2;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;;;;;;;;;;;;;;
10588409;A001568110;06/03/2023;2023;1;Automovil;Publico;Pasajeros - Individual;TAXI;;;;;;;SI;;;;SI;;;;;;;;;;
10588409;A001568110;06/03/2023;2023;2;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;;;;SI;;;;;;;;;;
10588410;A001567883;05/03/2023;2023;1;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;;;;;;;;;;;;;;
10588411;A001567507;06/03/2023;2023;1;Motocicleta;Particular;;MOTOCICLETA;;SI;;;;;SI;;;;;;;;;;;;;;
10588411;A001567507;06/03/2023;2023;2;Bicicleta;Sin información;;BICICLETA;;SI;;;;;SI;;;;;;;;;;;;;;
10588412;A001567831;03/03/2023;2023;1;Tractocamion;Publico;;CARGA;;;SI;;;;;;;;;;;;;;;;;;
10588413;A001568041;06/03/2023;2023;1;Camioneta;Publico;;LIVIANO;;;;;;;SI;;;;;;;;;;;;;;
10588413;A001568041;06/03/2023;2023;2;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;;;;;;;;;;;;;;
10588413;A001568041;06/03/2023;2023;3;Automovil;Sin información;;LIVIANO;;;;;;;SI;;;;;;;;;;;;;;
10588414;A001519344;06/03/2023;2023;1;Camioneta;Particular;;LIVIANO;;;;;;;;SI;SI;;;;;;;;;;;;
10588415;A001567703;06/03/2023;2023;1;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;;;;;;;;;;;;;;
10588415;A001567703;06/03/2023;2023;2;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;;;;;;;;;;;;;;
10588416;A001568067;06/03/2023;2023;1;Motocicleta;Particular;;MOTOCICLETA;;;;;;SI;SI;SI;;;;;;;;;;;;;
10588417;A001567924;06/03/2023;2023;1;Automovil;Publico;Pasajeros - Individual;TAXI;;;;;;;;;;;SI;;;;;;;;;;
10588417;A001567924;06/03/2023;2023;2;Automovil;Particular;;LIVIANO;;;;;;;;;;;SI;;;;;;;;;;
10588418;A001568140;06/03/2023;2023;1;Bicicleta;Sin información;;BICICLETA;;SI;;;;;;;;;;;;;;;;;;;
10588418;A001568140;06/03/2023;2023;2;Automovil;Sin información;;LIVIANO;;SI;;;;;;;;;;;;;;;;;;;
10588419;A001567940;05/03/2023;2023;1;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;SI;SI;;;;;;;;;;;;
10588420;A001567625;06/03/2023;2023;1;Automovil;Particular;;LIVIANO;;;;;;;SI;;;;;;;;;;;;;;
10588420;A001567625;06/03/2023;2023;2;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;;;;;;;;;;;;;;
10588421;A001567780;03/03/2023;2023;1;Camioneta;Particular;;LIVIANO;;;;;;;SI;;;;;;;;;;;;;;
10588421;A001567780;03/03/2023;2023;2;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;;;;;;;;;;;;;;
10588422;A001568054;05/03/2023;2023;1;Automovil;Particular;;LIVIANO;;;;;;;;;SI;;;;;;;;;;;;
10588422;A001568054;05/03/2023;2023;2;Automovil;Particular;;LIVIANO;;;;;;;;;SI;;;;;;;;;;;;
10588423;A001567014;06/03/2023;2023;1;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;;;;;;;;;;;;;;
10588423;A001567014;06/03/2023;2023;2;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;;;;;;;;;;;;;;
10588424;A001519017;05/03/2023;2023;1;Motocicleta;Particular;;MOTOCICLETA;;;;SI;;;SI;;;;;;;;;;;;;;
10588424;A001519017;05/03/2023;2023;2;Automovil;Particular;;LIVIANO;;;;SI;;;SI;;;;;;;;;;;;;;
10588425;A001567403;03/03/2023;2023;1;Automovil;Particular;;LIVIANO;;SI;;;;;;;;;;;;;;;;;;;
10588425;A001567403;03/03/2023;2023;2;Bicicleta;Sin información;;BICICLETA;;SI;;;;;;;;;;;;;;;;;;;
10588426;A001567605;04/03/2023;2023;1;Automovil;Particular;;LIVIANO;;;;;;;SI;;;;;;;;;;;;;;
10588426;A001567605;04/03/2023;2023;2;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;;;;;;;;;;;;;;
10588427;A001566708;04/03/2023;2023;1;Automovil;Particular;;LIVIANO;;;;;;;;SI;;;;;;;;;;;;;
10588428;A001568070;06/03/2023;2023;1;Camioneta;Particular;;LIVIANO;;;;;;;SI;;;;;;;;;;;;;;
10588428;A001568070;06/03/2023;2023;2;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;;;;;;;;;;;;;;
10588429;A001568003;06/03/2023;2023;1;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;;;;;;;;;;;;;;
10588429;A001568003;06/03/2023;2023;2;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;;;;;;;;;;;;;;
10588429;A001568003;06/03/2023;2023;3;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;;;;;;;;;;;;;;
10588430;A001567760;06/03/2023;2023;1;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;;;;;;;;;;;;;;
10588430;A001567760;06/03/2023;2023;2;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;;;;;;;;;;;;;;
10588431;A001568068;06/03/2023;2023;1;Motocicleta;Particular;;MOTOCICLETA;;;;;;SI;SI;;;;;;;;;;;;;;
10588431;A001568068;06/03/2023;2023;2;Motocicleta;Particular;;MOTOCICLETA;;;;;;SI;SI;;;;;;;;;;;;;;
10588432;A001567761;06/03/2023;2023;1;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;;;;SI;;;;;;;;;;
10588432;A001567761;06/03/2023;2023;2;Automovil;Publico;Pasajeros - Individual;TAXI;;;;;;;SI;;;;SI;;;;;;;;;;
10588433;A001567702;06/03/2023;2023;1;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;SI;;;;;;;;;;;;;
10588434;A001568043;06/03/2023;2023;1;Camioneta;Particular;;LIVIANO;;;;;;;;SI;SI;;;;;;;;;;;;
10588435;A001568001;06/03/2023;2023;1;Automovil;Publico;Pasajeros - Individual;TAXI;;;;;;;SI;;;;SI;;;;;;;;;;
10588435;A001568001;06/03/2023;2023;2;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;;;;SI;;;;;;;;;;
10588436;A001567990;05/03/2023;2023;1;Automovil;Publico;Pasajeros - Individual;TAXI;;;;;;;;SI;;;SI;;;;;;;;;;
10588437;A001568087;06/03/2023;2023;1;Automovil;Publico;Pasajeros - Individual;TAXI;;;;;;;SI;;;;SI;;;;;;;;;;
10588437;A001568087;06/03/2023;2023;2;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;;;;SI;;;;;;;;;;
10588438;A001566790;06/03/2023;2023;1;Bus;Publico;;TRANSPORTE DE PASAJEROS;ALIMENTADOR;;;;;;;;SI;;;SI;;SI;;SI;;;;;
10588439;A001568030;06/03/2023;2023;1;Camioneta;Particular;;LIVIANO;;;;;;;SI;;;;;;;;;;;;;;
10588439;A001568030;06/03/2023;2023;2;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;;;;;;;;;;;;;;
10588440;A001567994;06/03/2023;2023;1;Automovil;Particular;;LIVIANO;;;;;;;SI;;;;;;;;;;;;;;
10588440;A001567994;06/03/2023;2023;2;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;;;;;;;;;;;;;;
10588441;A001567803;05/03/2023;2023;1;Bus;Publico;;TRANSPORTE DE PASAJEROS;ZONAL;;;;;;;SI;;;;SI;;SI;;;SI;;;;
10586044;A001519298;05/01/2023;2023;2;Cuatrimoto;Particular;;MOTOCICLETA;;;;;;;SI;;;;;;;;;;;;;;
10586045;A001518391;05/01/2023;2023;1;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;SI;SI;;;;;;;;;;;;
10586046;A001519271;08/01/2023;2023;1;Motocicleta;Particular;;MOTOCICLETA;;SI;;;;;SI;;;;;;;;;;;;;;
10586046;A001519271;08/01/2023;2023;2;Bicicleta;Sin información;;BICICLETA;;SI;;;;;SI;;;;;;;;;;;;;;
10586047;A001519181;05/01/2023;2023;1;Motocicleta;Particular;;MOTOCICLETA;;SI;;;;;SI;;;;;;;;;;;;;;
10586047;A001519181;05/01/2023;2023;2;Bicicleta;Sin información;;BICICLETA;;SI;;;;;SI;;;;;;;;;;;;;;
10586048;A001519319;07/01/2023;2023;1;Motocicleta;Particular;;MOTOCICLETA;;;;;;SI;SI;SI;;;;;;;;;;;;;
10586049;A001519182;06/01/2023;2023;1;Bus;Publico;;TRANSPORTE DE PASAJEROS;ZONAL;;;;;;;;;;;SI;;SI;;;SI;;;;
10586050;A001519235;07/01/2023;2023;1;Automovil;Publico;Pasajeros - Individual;TAXI;;;;;;;SI;;;;SI;;;;;;;;;;
10586050;A001519235;07/01/2023;2023;2;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;;;;SI;;;;;;;;;;
10586051;A001519357;06/01/2023;2023;1;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;;SI;;SI;;;;;;;;;;
10586051;A001519357;06/01/2023;2023;2;Automovil;Publico;Pasajeros - Individual;TAXI;;;;;;;SI;;SI;;SI;;;;;;;;;;
10586052;A001519234;06/01/2023;2023;1;Bus;Publico;;TRANSPORTE DE PASAJEROS;BIARTICULADO;;;;;SI;;;;;;SI;;SI;SI;;;;;SI;
10586053;A001518162;07/01/2023;2023;1;Automovil;Particular;;LIVIANO;;SI;;;;;;;;;;;;;;;;;;;
10586053;A001518162;07/01/2023;2023;2;Bicicleta;Sin información;;BICICLETA;;SI;;;;;;;;;;;;;;;;;;;
10586054;A001518979;05/01/2023;2023;1;Motocicleta;Particular;;MOTOCICLETA;;;;;SI;;SI;;;;;;;;;;;;;;
10586055;A001519296;06/01/2023;2023;1;Bus;Publico;;TRANSPORTE DE PASAJEROS;ZONAL;;;;;;;SI;;;;SI;;SI;;;SI;;;;
10586056;A001518405;06/01/2023;2023;1;Bus;Publico;;TRANSPORTE DE PASAJEROS;ZONAL;;;;;;;SI;;;;SI;;SI;;;SI;;;;
10586057;A001518000;07/01/2023;2023;1;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;;SI;;;;;;;;;;;;
10586057;A001518000;07/01/2023;2023;2;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;;SI;;;;;;;;;;;;
10586058;A001519384;07/01/2023;2023;1;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;;;;;;;;;;;;;;
10586058;A001519384;07/01/2023;2023;2;Camioneta;Publico;;LIVIANO;;;;;;;SI;;;;;;;;;;;;;;
10586059;A001517070;07/01/2023;2023;1;Automovil;Particular;;LIVIANO;;;;;;;SI;;;;;;;;;;;;;;
10586059;A001517070;07/01/2023;2023;2;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;;;;;;;;;;;;;;
10586060;A001519267;07/01/2023;2023;1;Motocicleta;Particular;;MOTOCICLETA;;;;;;;SI;;;;;;;;;;;;;;
10586061;A001518797;07/01/2023;2023;1;Motocicleta;Particular;;MOTOCICLETA;;;;SI;;SI;SI;;;;SI;;;;;;;;;;
